Chemical Industry;Absorbers;Activated Carbon Filters;Agitators;Compressors;Condenser;Coolers;Cooling Towers;Deaerators;Distillation Column;Evaporators;Fans;Filters;Grids/Screens;Heat Exchanger;Hydrolyzer;Kiln;Liquid Extraction Unit;Membranes;Piping;Precipitators;Propellers;Pump Casing;Pumps;Reactor;Sand Filters;Sediment Traps;Strippers;Tanks;Turbines;Vents;;;;;
Dairy;Activated carbon filters;Aerators;Agitators;Air Compressor;Churn;Clarifier/Thickener;Coolers;Fermentation Vats;Heat Exchangers;Heater;Homogenizer;Ice Builder;Membranes;Mixers;Pasteurization Vessel;Piping;Presser;Pump Casing;Pump propellers;Pumps;Rake;Reactor;Sandfilters;Screens;Seperator;Tanks;Vat;;;;;;;;
Distilled Beverages;Activated carbon filters;Aerators;Agitators;Clarifier/Thickener;Condenser;Cooler;Distillation Unit;Fermenter;Heat Exchangers;Membranes;Mill;Piping;Plates;Propellers;Pump Casing;Pumps;Rake;Reactor;Reboiler;Reflux Drum;Sandfilters;Screens;Tanks;Trays;;;;;;;;;;;
Hot Beverages;Activated carbon filters;Aerators;Agitators;Boiler;Clarifier/Thickener;Compressor;Condenser;Coolers;Daerators;Evaporatos;Filter;Heat Exchangers;Membranes;Mixers;Piping;Pump Casing;Pump propellers;Pumps;Rake;Reactor;Sandfilters;Screens;Tanks;;;;;;;;;;;;
Iron and Steel;Activated Carbon Filters;Agitators;Boilers;Claifier/Thickener;Compresors;Condenser;Coolers;Cooling Towers;Daerators;Dams;Distillation Columns;Dryers;Evaporators;Furnace;Heat Exchanger;Incinerator;Membranes;Mill;Mixers;Oil Seperators;Pre-coolers;Propeller;Pump Casing;Pumps;Reactor;Refrigerator;Sand Filters;Silt/Sediment Traps;Sprayers;Steam Generator;Strippers;Tanks;;;
Laundry;Activated Carbon Filters;Batch Washers;Clarifiers/Thickeners;Compressors;Condensers;Dryers;Filters;Heat Exchanger;Membranes;Piping;Propeller;Pump Casing;Pumps;Reactor;Sand Filters;Steam Boilers;Tanks;Washer Extractors;;;;;;;;;;;;;;;;;
Malt Beer;Activated carbon filters;Aerators;Agitators;Boiler;Clarifier/Thickener;Condenser;Deaerators;Fermenter;Filters;Heat Exchanger;Kiln;Lauter Tun;Malt Vessel;Mash Tun;Membranes;Mill;Piping;Pump Casing;Pump propellers;Pumps;Rake;Reactor;Sandfilters;Screens;Steeping Vessel;Tanks;;;;;;;;;
Petrochemical;Absorbers;Activated Carbon Filters;Agitators;Boilers;Claifier/Thickener;Compressor;Condenser;Coolers;Coolers;Cooling Towers;Daerators;Dams;Distillation Columns;Dryers;Evaporators;Furnace;Heat Exchanger;Heaters;Incinerator;Membranes;Mixers;Oil Seperators;Piping;Pre-coolers;Propeller;Pump Casing;Pumps;Reactor;Refrigerator;Sand Filters;Silt/Sediment Traps;Steam Generator;Strippers;Tanks;
Pharmaceutical;Activated Carbon Filters;Agitators;Boilers;Claifier/Thickener;Classifier;Compressor;Condenser;Coolers;Cooling Towers;Crystalliser;Daerators;Dams;Distillation Columns;Dryers;Evaporators;Evaporators;Fermenter;Filters;Heat Exchanger;Membranes;Mills;Mixers;Oil Seperators;Propeller;Pump Casing;Pumps;Reactor;Refrigerator;Rotary Dryer;Sand Filters;Silt/Sediment Traps;Sprayers;Steam Generator;Strippers;Tanks
Power ;Activated Carbon Filters;Aerators;Air heater;Blowers;Boiler;Boiler Combustion Chamber;Compressors;Condenser;Coolers;Cooling Towers;Cyclones;Dams;Deaerators;DMS Clone;Evaporators;Fans;Filters;Grids/Screen;Heat Exchanger;Membranes;Piping;Precipitators;Propellers;Pump Casing;Pumps;Reactor;Reheater/Superheater;Sand Filters;Sediment Traps;Separator;Steam Generator;Tanks;Turbines;;
Pulp & Paper;Activated Carbon Filters;Aerators;Boilers;Chipper;Clarifier/Thickener;Coater;Condenser;Cutters;Deaerators;Digester;Digestor;Dryers;Drying Cylinders;Evaporators;Grids/Screens;Grinders;Heat Exchanger;Heaters;Presser;Propellers;Pulper;Pump Casing;Pumps;Reactor;Refiners;Rollers;Rotating Drum;Sand Filters;Super Calendar;Tanks;;;;;
Soft Drinks;Activated carbon filters;Aerators;Agitators;Boiler;Clarifier/Thickener;Compressor;Condenser;Coolers;Deaerators;Evaporatos;Filter;Heat Exchangers;Membranes;Mixers;Piping;Pump Casing;Pump propellers;Pumps;Rake;Reactor;Sandfilters;Screens;Tanks;;;;;;;;;;;;
Sugar Refinery;Activated carbon filters;Aerators;Agitators;Boiler;Carbonator;Centrifuge;Circulator Pumps;Clarifier/Thickener;Condenser;Condenser;Crushers;Crystallisers;Deaerators;Diffuser;Dryers;Filter Press;Groove Rollers;Heat Exchanger;Heaters;Ion Exchange;Membranes;Multi-Effect Evaporator;Pans;Piping;Propellers;Pump Casing;Pumps;Rake;Reactor;Sandfilters;Screens;Tanks;;;
